Name of Creditor,Address of Property,Account Number,Original Amount (Expected Total if Ongoing Construction Loan),Original Date,Current Balance,Maturity Date,Payment Amount (Monthly),Data Updated As Of
Metairie Bank,"7700 Burthe St, New Orleans, LA 70118",7058933," $ 860,000 ",25-Apr-23," $ 831,927 ",25-Apr-33," $ 5,859 ",6/17/2025
Metairie Bank,"2422 Joseph St, New Orleans, LA 70115",7058931," $ 620,000 ",25-Apr-23," $ 588,149 ",25-Apr-33," $ 4,658 ",6/17/2025
Metairie Bank,"2422 Joseph St, New Orleans, LA 70115",7060299," $ 120,953 ",29-May-24," $ 119,571 ",29-Nov-34," $ 1,012 ",6/17/2025
Metairie Bank,"7608 Zimple St, New Orleans, LA 70118",7058935," $ 442,500 ",25-Apr-23," $ 431,389 ",25-Apr-34," $ 3,299 ",6/17/2025
Metairie Bank,"7500 Zimple St, New Orleans, LA 70118",7059088," $ 832,000 ",23-Jun-23," $ 811,838 ",1-Aug-34," $ 6,576 ",6/17/2025
Metairie Bank,"7506 Zimple St, New Orleans, LA 70118",7060141," $ 577,600 ",15-Dec-23," $ 571,441 ",15-Dec-34," $ 3,730 ",6/17/2025
Metairie Bank,"1414 Audubon St, New Orleans, LA 70118",7060057," $ 631,875 ",30-Oct-23," $ 610,299 ",30-Oct-33," $ 5,134 ",6/17/2025
Metairie Bank,"1414 Audubon St, New Orleans, LA 70118",7060301," $ 140,839 ",29-May-24," $ 140,446 ",29-Nov-34," $ 1,175 ",6/17/2025
JD Bank,"460 NW 20th St, Boca Raton, FL 33496",9992205977," $ 198,000 ",29-Jan-24," $ 190,000 ",1-Feb-29," $ 1,646 ",3/10/2025
Planters Bank,7313-15 Freret St,90150032996," $ 847,556 ",27-Sep-24," $ 847,556 ",10-Dec-29," $ 7,327 ",6/17/2025
Planters Bank,1128 Lowerline St,9000005122," $ 348,984 ",11-Oct-24," $ 348,984 ",11-Oct-29," $ 2,200 ",6/17/2025